filename,width,height,class,xmin,ymin,xmax,ymax
arriba.jpg,1080,1920,sello,0,1081,116,1384
arriba.jpg,1080,1920,sello,843,9,1059,59
arriba.jpg,1080,1920,texto,576,1288,932,1409
abajo.jpg,1080,1920,sello,0,1081,116,1384
abajo.jpg,1080,1920,sello,850,10,1057,61
abajo.jpg,1080,1920,texto,576,1289,944,1412
derecha.jpg,1080,1920,sello,0,1081,116,1384
derecha.jpg,1080,1920,sello,850,10,1057,61
derecha.jpg,1080,1920,texto,576,1289,944,1412
izquierda.jpg,1080,1920,sello,0,1081,116,1384
izquierda.jpg,1080,1920,sello,850,10,1057,61
izquierda.jpg,1080,1920,texto,576,1289,944,1412
